Price,Time
4.15,2017-01-10
3.75,2017-01-08
3.75,2017-01-06
3.75,2017-01-04
3.75,2017-01-02
3.75,2016-12-31
3.75,2016-12-29
3.75,2016-12-27
3.70,2016-12-25
3.70,2016-12-23
3.60,2016-12-21
3.60,2016-12-19
3.60,2016-12-17
3.60,2016-12-15
3.60,2016-12-13
3.60,2016-12-11
3.60,2016-12-09
3.60,2016-12-07
3.60,2016-12-05
3.60,2016-12-02
3.60,2016-11-30
3.60,2016-11-28
3.60,2016-11-26
3.60,2016-11-24
3.75,2016-11-22
3.75,2016-11-20
3.75,2016-11-18
3.75,2016-11-16
3.75,2016-11-14
3.75,2016-11-12
3.75,2016-11-10
3.75,2016-11-08
3.90,2016-11-06
3.90,2016-11-04
3.90,2016-11-02
3.90,2016-10-31
3.25,2016-10-29
3.25,2016-10-27
3.25,2016-10-25
3.25,2016-10-23
3.25,2016-10-21
3.30,2016-10-19
3.30,2016-10-17
3.30,2016-10-15
3.30,2016-10-13
3.85,2016-10-11
3.85,2016-10-09
3.85,2016-10-06
3.85,2016-10-04
3.00,2016-09-08
3.00,2016-09-06
3.00,2016-09-04
3.00,2016-09-02
3.00,2016-08-31
3.00,2016-08-29
3.00,2016-08-27
3.00,2016-08-25
3.00,2016-08-23
3.00,2016-08-21
3.00,2016-08-19
3.00,2016-08-17
3.00,2016-08-15
3.00,2016-08-13
2.90,2016-08-11
2.90,2016-08-09
3.05,2016-08-07
3.05,2016-08-05
3.05,2016-08-03
3.05,2016-08-01
3.05,2016-07-30
3.05,2016-07-28
3.05,2016-07-26
3.05,2016-07-24
3.05,2016-07-22
3.05,2016-07-20
3.05,2016-07-18
3.75,2016-07-16
3.75,2016-07-14
3.75,2016-07-12
3.65,2016-07-10
3.65,2016-07-08
3.65,2016-07-06
3.65,2016-07-04
3.65,2016-07-02
3.65,2016-06-30
3.65,2016-06-28
3.65,2016-06-26
3.65,2016-06-24
3.65,2016-06-22
3.60,2016-06-05
3.60,2016-06-03
3.60,2016-06-01
3.60,2016-05-30
3.60,2016-05-28
3.60,2016-05-26
3.60,2016-05-24
3.60,2016-05-22
3.60,2016-05-20
3.60,2016-05-18
3.15,2016-05-16
3.15,2016-05-14
3.15,2016-05-12
3.15,2016-05-10
3.25,2016-05-08
3.05,2016-05-06
3.05,2016-05-04
3.05,2016-05-02
3.05,2016-04-30
3.05,2016-04-28
3.05,2016-04-26
3.05,2016-04-24
3.05,2016-04-22
3.00,2016-04-20
3.00,2016-04-18
3.40,2016-04-16
3.40,2016-04-14
3.25,2016-04-12
3.25,2016-04-10
3.50,2016-04-07
3.50,2016-04-05
3.50,2016-04-03
3.50,2016-04-01
3.50,2016-03-30
3.50,2016-03-28
3.50,2016-03-26
3.50,2016-03-24
3.50,2016-03-22
3.50,2016-03-20
3.50,2016-03-18
3.50,2016-03-16
3.50,2016-03-14
3.50,2016-03-11
3.80,2016-03-09
3.80,2016-03-07
3.80,2016-03-05
3.80,2016-03-03
3.80,2016-03-01
3.80,2016-02-28
3.80,2016-02-25
3.80,2016-02-23
